Unnamed: 0,date,file_path,debate_title,country
0,2010-01-27,Data/speeches/UK/011 Census 2010-01-27.json,2011 Census,2.0
1,2010-01-26,Data/speeches/UK/012 Olympic Legacy 2010-01-26.json,2012 Olympic Legacy,2.0
2,2010-01-28,Data/speeches/UK/47 2010-01-28.json,A47,2.0
3,2010-01-27,Data/speeches/UK/dvice and Advocacy Services 2010-01-27.json,Advice and Advocacy Services,2.0
4,2010-02-08,Data/speeches/UK/dvisory Council on the Misuse of Drugs 2010-02-08.json,Advisory Council on the Misuse of Drugs,2.0
5,2010-01-26,Data/speeches/UK/ffordable Housing (London) 2010-01-26.json,Affordable Housing (London),2.0
6,2010-02-01,Data/speeches/UK/fghanistan and Yemen 2010-02-01.json,Afghanistan and Yemen,2.0
7,2010-02-01,Data/speeches/UK/fghanistan Conference and Yemen     Meeting 2010-02-01.json,Afghanistan Conference and Yemen     Meeting,2.0
8,2010-02-04,Data/speeches/UK/griculture_ Chinese Lanterns 2010-02-04.json,Agriculture: Chinese Lanterns,2.0
9,2010-01-26,Data/speeches/UK/ir Passenger Duty (Caribbean) 2010-01-26.json,Air Passenger Duty (Caribbean),2.0
10,2010-02-08,Data/speeches/UK/irports_ Heathrow 2010-02-08.json,Airports: Heathrow,2.0
11,2010-02-02,Data/speeches/UK/lcohol (Minimum Price) 2010-02-02.json,Alcohol (Minimum Price),2.0
12,2010-02-08,Data/speeches/UK/lcohol-related Crime 2010-02-08.json,Alcohol-related Crime,2.0
14,2010-02-02,Data/speeches/UK/luminium Industry 2010-02-02.json,Aluminium Industry,2.0
15,2010-01-26,Data/speeches/UK/mbulance Response Times (Local Reporting) 2010-01-26.json,Ambulance Response Times (Local Reporting),2.0
16,2010-02-04,Data/speeches/UK/naerobic Digestion 2010-02-04.json,Anaerobic Digestion,2.0
17,2010-01-28,Data/speeches/UK/ntarctica_ Cruise Ships 2010-01-28.json,Antarctica: Cruise Ships,2.0
18,2010-01-27,Data/speeches/UK/nti-Slavery Day 2010-01-27.json,Anti-Slavery Day,2.0
19,2010-02-05,Data/speeches/UK/nti-Slavery Day Bill 2010-02-05.json,Anti-Slavery Day Bill,2.0
21,2010-01-29,Data/speeches/UK/ntisocial Behaviour Orders 2010-01-29.json,Antisocial Behaviour Orders,2.0
23,2010-02-02,Data/speeches/UK/rrangement of     Business 2010-02-02.json,Arrangement of     Business,2.0
28,2010-02-03,Data/speeches/UK/ssisted Dying 2010-02-03.json,Assisted Dying,2.0
30,2010-01-28,Data/speeches/UK/ttorney-General_ Private Prosecutions 2010-01-28.json,Attorney-General: Private Prosecutions,2.0
32,2010-01-25,Data/speeches/UK/adman Report 2010-01-25.json,Badman Report,2.0
34,2010-01-27,Data/speeches/UK/anking_     Bonuses 2010-01-27.json,Banking:     Bonuses,2.0
35,2010-02-01,Data/speeches/UK/anking_ Services 2010-02-01.json,Banking: Services,2.0
36,2010-01-26,Data/speeches/UK/anks 2010-01-26.json,Banks,2.0
37,2010-02-02,Data/speeches/UK/anks_ Dormant Accounts 2010-02-02.json,Banks: Dormant Accounts,2.0
38,2010-02-02,Data/speeches/UK/etter Healthcare Closer to Home 2010-02-02.json,Better Healthcare Closer to Home,2.0
39,2010-02-03,Data/speeches/UK/lind and Partially Sighted People_ Street Design 2010-02-03.json,Blind and Partially Sighted People: Street Design,2.0
41,2010-01-28,Data/speeches/UK/ournemouth Borough Council Bill [Lords] 2010-01-28.json,Bournemouth Borough Council Bill [Lords],2.0
42,2010-02-04,Data/speeches/UK/ovine Tuberculosis 2010-02-04.json,Bovine Tuberculosis,2.0
43,2010-02-02,Data/speeches/UK/ribery Bill [HL] 2010-02-02.json,Bribery Bill [HL],2.0
44,2010-02-08,Data/speeches/UK/ribery Bill [HL] 2010-02-08.json,Bribery Bill [HL],2.0
47,2010-01-28,Data/speeches/UK/usiness of the House 2010-01-28 (1).json,Business of the House,2.0
48,2010-01-28,Data/speeches/UK/usiness of the House 2010-01-28.json,Business of the House,2.0
51,2010-02-04,Data/speeches/UK/usiness of the House 2010-02-04.json,Business of the House,2.0
55,2010-01-26,Data/speeches/UK/usiness Rate Revaluation 2010-01-26.json,Business Rate Revaluation,2.0
57,2010-01-26,Data/speeches/UK/usiness without Debate 2010-01-26.json,Business without Debate,2.0
59,2010-01-29,Data/speeches/UK/usiness without Debate 2010-01-29.json,Business without Debate,2.0
65,2010-01-26,Data/speeches/UK/adbury 2010-01-26.json,Cadbury,2.0
66,2010-02-02,Data/speeches/UK/apital Allowances (Plant and Machinery) 2010-02-02.json,Capital Allowances (Plant and Machinery),2.0
67,2010-01-28,Data/speeches/UK/arbon Capture and Storage 2010-01-28.json,Carbon Capture and Storage,2.0
68,2010-01-27,Data/speeches/UK/harities (Regulatory Burden) 2010-01-27 (1).json,Charities (Regulatory Burden),2.0
69,2010-01-27,Data/speeches/UK/harities (Regulatory Burden) 2010-01-27.json,Charities (Regulatory Burden),2.0
70,2010-01-26,Data/speeches/UK/harities Act 2006 (Changes in Exempt Charities) Order 2010 2010-01-26.json,Charities Act 2006 (Changes in Exempt Charities) Order 2010,2.0
72,2010-01-26,Data/speeches/UK/harities Act 2006 2010-01-26.json,Charities Act 2006,2.0
73,2010-02-01,Data/speeches/UK/hild Maintenance and Enforcement Commission 2010-02-01.json,Child Maintenance and Enforcement Commission,2.0
74,2010-02-01,Data/speeches/UK/hild Poverty 2010-02-01.json,Child Poverty,2.0
75,2010-01-25,Data/speeches/UK/hild Poverty Bill 2010-01-25.json,Child Poverty Bill,2.0
76,2010-01-27,Data/speeches/UK/hild Poverty Bill 2010-01-27.json,Child Poverty Bill,2.0
77,2010-02-08,Data/speeches/UK/hild Poverty Bill 2010-02-08.json,Child Poverty Bill,2.0
78,2010-01-25,"Data/speeches/UK/hildren, Schools and Families 2010-01-25.json","Children, Schools and Families",2.0
79,2010-01-25,Data/speeches/UK/hildren’s Centres 2010-01-25.json,Children’s Centres,2.0
80,2010-01-25,Data/speeches/UK/hristian Worship 2010-01-25.json,Christian Worship,2.0
81,2010-02-01,Data/speeches/UK/ivil Litigation 2010-02-01.json,Civil Litigation,2.0
82,2010-02-08,Data/speeches/UK/luster Munitions (Prohibitions) Bill [HL] 2010-02-08.json,Cluster Munitions (Prohibitions) Bill [HL],2.0
83,2010-01-27,Data/speeches/UK/olombia (Human Rights) 2010-01-27.json,Colombia (Human Rights),2.0
84,2010-02-04,Data/speeches/UK/ommon Fisheries Policy 2010-02-04.json,Common Fisheries Policy,2.0
85,2010-01-25,Data/speeches/UK/ommons Chamber 2010-01-25.json,Commons Chamber,2.0
86,2010-01-26,Data/speeches/UK/ommons Chamber 2010-01-26.json,Commons Chamber,2.0
87,2010-01-27,Data/speeches/UK/ommons Chamber 2010-01-27.json,Commons Chamber,2.0
88,2010-01-28,Data/speeches/UK/ommons Chamber 2010-01-28.json,Commons Chamber,2.0
89,2010-01-29,Data/speeches/UK/ommons Chamber 2010-01-29.json,Commons Chamber,2.0
90,2010-02-01,Data/speeches/UK/ommons Chamber 2010-02-01.json,Commons Chamber,2.0
91,2010-02-02,Data/speeches/UK/ommons Chamber 2010-02-02.json,Commons Chamber,2.0
92,2010-02-03,Data/speeches/UK/ommons Chamber 2010-02-03.json,Commons Chamber,2.0
93,2010-02-04,Data/speeches/UK/ommons Chamber 2010-02-04.json,Commons Chamber,2.0
94,2010-02-05,Data/speeches/UK/ommons Chamber 2010-02-05.json,Commons Chamber,2.0
95,2010-02-08,Data/speeches/UK/ommons Chamber 2010-02-08.json,Commons Chamber,2.0
96,2010-02-01,Data/speeches/UK/ommunications Act 2003 (Disclosure of Information) Order 2010 2010-02-01.json,Communications Act 2003 (Disclosure of Information) Order 2010,2.0
97,2010-01-26,Data/speeches/UK/ommunities and Local Government 2010-01-26.json,Communities and Local Government,2.0
99,2010-02-03,Data/speeches/UK/ongo 2010-02-03.json,Congo,2.0
100,2010-01-28,Data/speeches/UK/onstitutional Reform 2010-01-28.json,Constitutional Reform,2.0
101,2010-01-26,Data/speeches/UK/onstitutional Reform and  Governance Bill 2010-01-26.json,Constitutional Reform and  Governance Bill,2.0
102,2010-02-01,Data/speeches/UK/onstitutional Reform and Governance Bill (Money) (No. 2) 2010-02-01.json,Constitutional Reform and Governance Bill (Money) (No. 2),2.0
103,2010-01-26,Data/speeches/UK/onstitutional Reform and Governance Bill (Programme) (No. 4) 2010-01-26.json,Constitutional Reform and Governance Bill (Programme) (No. 4),2.0
104,2010-02-01,Data/speeches/UK/onstitutional Reform and Governance Bill (Ways and Means) (No. 2) 2010-02-01.json,Constitutional Reform and Governance Bill (Ways and Means) (No. 2),2.0
105,2010-02-01,Data/speeches/UK/onstitutional Reform and Governance Bill 2010-02-01.json,Constitutional Reform and Governance Bill,2.0
106,2010-02-05,Data/speeches/UK/onstitutional Reform Bill [HL] 2010-02-05.json,Constitutional Reform Bill [HL],2.0
107,2010-02-03,Data/speeches/UK/ontrol Orders 2010-02-03.json,Control Orders,2.0
109,2010-02-04,Data/speeches/UK/orporation Tax Bill 2010-02-04.json,Corporation Tax Bill,2.0
110,2010-02-04,Data/speeches/UK/orruption_ Prosecutions 2010-02-04.json,Corruption: Prosecutions,2.0
111,2010-02-04,Data/speeches/UK/rime and Security Bill (Ways and Means) 2010-02-04.json,Crime and Security Bill (Ways and Means),2.0
112,2010-01-26,"Data/speeches/UK/riminal Justice Act 2003 (Mandatory Life Sentence, Determination of Minimum Term) Order 2010 2010-01-26.json","Criminal Justice Act 2003 (Mandatory Life Sentence, Determination of Minimum Term) Order 2010",2.0
114,2010-02-03,Data/speeches/UK/riminal Justice and Policing (Devolution) 2010-02-03.json,Criminal Justice and Policing (Devolution),2.0
115,2010-02-08,Data/speeches/UK/riminal Offences (Repeal) 2010-02-08.json,Criminal Offences (Repeal),2.0
116,2010-01-27,Data/speeches/UK/rown Accession 2010-01-27.json,Crown Accession,2.0
117,2010-01-27,Data/speeches/UK/airy Farming 2010-01-27.json,Dairy Farming,2.0
118,2010-02-05,Data/speeches/UK/amages (Asbestos-Related Conditions) (No.2) Bill 2010-02-05.json,Damages (Asbestos-Related Conditions) (No.2) Bill,2.0
119,2010-02-05,Data/speeches/UK/amages (Asbestos-related Conditions) Bill [HL] 2010-02-05.json,Damages (Asbestos-related Conditions) Bill [HL],2.0
120,2010-02-04,Data/speeches/UK/angerous Dogs 2010-02-04.json,Dangerous Dogs,2.0
122,2010-02-03,Data/speeches/UK/ecommissioning 2010-02-03.json,Decommissioning,2.0
123,2010-01-25,Data/speeches/UK/elegated legislation 2010-01-25.json,delegated legislation,2.0
128,2010-01-27,Data/speeches/UK/ementia Services 2010-01-27.json,Dementia Services,2.0
131,2010-02-08,Data/speeches/UK/evolution (Northern Ireland) 2010-02-08.json,Devolution (Northern Ireland),2.0
132,2010-01-26,Data/speeches/UK/igital Economy Bill [HL] 2010-01-26 (1).json,Digital Economy Bill [HL],2.0
133,2010-01-26,Data/speeches/UK/igital Economy Bill [HL] 2010-01-26.json,Digital Economy Bill [HL],2.0
134,2010-02-03,Data/speeches/UK/igital Economy Bill [HL] 2010-02-03.json,Digital Economy Bill [HL],2.0
135,2010-02-08,Data/speeches/UK/igital Economy Bill [HL] 2010-02-08.json,Digital Economy Bill [HL],2.0
136,2010-02-01,Data/speeches/UK/igital Inclusion 2010-02-01.json,Digital Inclusion,2.0
137,2010-01-27,Data/speeches/UK/uchy of Lancaster 2010-01-27.json,Duchy of Lancaster,2.0
138,2010-02-02,Data/speeches/UK/arly Intervention Policies 2010-02-02.json,Early Intervention Policies,2.0
139,2010-02-04,Data/speeches/UK/ast Coast Main Line 2010-02-04.json,East Coast Main Line,2.0
140,2010-02-01,Data/speeches/UK/ast of England Regional Grand Committee 2010-02-01.json,East of England Regional Grand Committee,2.0
141,2010-02-04,Data/speeches/UK/conomy_ Enterprise and Innovation 2010-02-04.json,Economy: Enterprise and Innovation,2.0
142,2010-01-25,Data/speeches/UK/ducation Maintenance Allowance 2010-01-25.json,Education Maintenance Allowance,2.0
143,2010-02-02,Data/speeches/UK/ducation Maintenance Allowance 2010-02-02.json,Education Maintenance Allowance,2.0
144,2010-01-25,Data/speeches/UK/ducational Psychologists 2010-01-25.json,Educational Psychologists,2.0
145,2010-01-28,Data/speeches/UK/ducation_ Language Trends Survey 2010-01-28.json,Education: Language Trends Survey,2.0
146,2010-01-28,Data/speeches/UK/mployees with Families 2010-01-28.json,Employees with Families,2.0
147,2010-02-01,Data/speeches/UK/mployment and Support Allowance 2010-02-01.json,Employment and Support Allowance,2.0
148,2010-02-04,Data/speeches/UK/ndangered Species 2010-02-04 (1).json,Endangered Species,2.0
149,2010-02-04,Data/speeches/UK/ndangered Species 2010-02-04.json,Endangered Species,2.0
150,2010-02-03,Data/speeches/UK/nergy_ National Policy Statements 2010-02-03.json,Energy: National Policy Statements,2.0
151,2010-01-25,Data/speeches/UK/nergy_ Performance Certificates 2010-01-25.json,Energy: Performance Certificates,2.0
152,2010-01-27,Data/speeches/UK/ngagements 2010-01-27 (1).json,Engagements,2.0
153,2010-01-27,Data/speeches/UK/ngagements 2010-01-27.json,Engagements,2.0
154,2010-02-03,Data/speeches/UK/ngagements 2010-02-03.json,Engagements,2.0
155,2010-02-04,"Data/speeches/UK/nvironment, Food and Rural Affairs 2010-02-04.json","Environment, Food and Rural Affairs",2.0
156,2010-01-27,Data/speeches/UK/quality     Bill 2010-01-27.json,Equality     Bill,2.0
157,2010-01-28,Data/speeches/UK/quality Bill (Access to Information) 2010-01-28.json,Equality Bill (Access to Information),2.0
158,2010-01-28,Data/speeches/UK/quality Bill (Age Discrimination) 2010-01-28.json,Equality Bill (Age Discrimination),2.0
159,2010-01-28,Data/speeches/UK/quality Bill (Religious Groups) 2010-01-28.json,Equality Bill (Religious Groups),2.0
160,2010-01-25,Data/speeches/UK/quality Bill 2010-01-25 (1).json,Equality Bill,2.0
161,2010-01-25,Data/speeches/UK/quality Bill 2010-01-25.json,Equality Bill,2.0
162,2010-01-27,Data/speeches/UK/quality Bill 2010-01-27.json,Equality Bill,2.0
164,2010-01-27,Data/speeches/UK/U-Israel Trade Agreement 2010-01-27.json,EU-Israel Trade Agreement,2.0
165,2010-01-26,Data/speeches/UK/uropean Union Committee 2010-01-26.json,European Union Committee,2.0
167,2010-01-28,Data/speeches/UK/U_ Codecision (EUC Report) 2010-01-28.json,EU: Codecision (EUC Report),2.0
168,2010-01-25,Data/speeches/UK/U_ External Action Service 2010-01-25.json,EU: External Action Service,2.0
169,2010-02-04,Data/speeches/UK/U_ UK Convergence Programme 2010-02-04.json,EU: UK Convergence Programme,2.0
170,2010-01-27,Data/speeches/UK/inance_ Alternative Investment Market 2010-01-27.json,Finance: Alternative Investment Market,2.0
171,2010-02-02,Data/speeches/UK/inancial Sector 2010-02-02.json,Financial Sector,2.0
173,2010-01-25,Data/speeches/UK/inancial Services Bill 2010-01-25.json,Financial Services Bill,2.0
175,2010-02-08,Data/speeches/UK/irearm and Shotgun Licences 2010-02-08.json,Firearm and Shotgun Licences,2.0
176,2010-01-28,Data/speeches/UK/irst Capital Connect (Thameslink) 2010-01-28.json,First Capital Connect (Thameslink),2.0
177,2010-02-03,Data/speeches/UK/irst Capital Connect 2010-02-03.json,First Capital Connect,2.0
178,2010-02-02,Data/speeches/UK/iscal and Monetary Policy 2010-02-02 (1).json,Fiscal and Monetary Policy,2.0
179,2010-02-02,Data/speeches/UK/iscal and Monetary Policy 2010-02-02.json,Fiscal and Monetary Policy,2.0
180,2010-02-02,Data/speeches/UK/iscal Support (Families) 2010-02-02.json,Fiscal Support (Families),2.0
181,2010-02-02,Data/speeches/UK/lood and Water Management Bill 2010-02-02.json,Flood and Water Management Bill,2.0
183,2010-01-25,Data/speeches/UK/lood Risk Regulations 2009 2010-01-25.json,Flood Risk Regulations 2009,2.0
184,2010-02-04,Data/speeches/UK/ood Labelling 2010-02-04.json,Food Labelling,2.0
185,2010-02-03,Data/speeches/UK/ood Production 2010-02-03.json,Food Production,2.0
186,2010-01-26,Data/speeches/UK/oreign and Commonwealth Office 2010-01-26.json,Foreign and Commonwealth Office,2.0
187,2010-02-03,Data/speeches/UK/uel Smuggling 2010-02-03.json,Fuel Smuggling,2.0
