Unnamed: 0,date,file_path,debate_title,country
0,2011-05-25,Data/speeches/UK/byei 2011-05-25.json,Abyei,2.0
1,2011-05-23,Data/speeches/UK/cademies 2011-05-23.json,Academies,2.0
2,2011-05-23,Data/speeches/UK/doption Rates 2011-05-23.json,Adoption Rates,2.0
8,2011-05-23,Data/speeches/UK/rts and Culture 2011-05-23.json,Arts and Culture,2.0
9,2011-05-24,Data/speeches/UK/ttorney-General 2011-05-24.json,Attorney-General,2.0
10,2011-05-24,Data/speeches/UK/utism (Quality Standards) 2011-05-24.json,Autism (Quality Standards),2.0
12,2011-05-23,Data/speeches/UK/anking_ Savings Accounts 2011-05-23.json,Banking: Savings Accounts,2.0
13,2011-06-06,Data/speeches/UK/anks_ Cheques 2011-06-06.json,Banks: Cheques,2.0
14,2011-06-07,Data/speeches/UK/reast Screening Programme 2011-06-07.json,Breast Screening Programme,2.0
15,2011-05-25,Data/speeches/UK/ritish Summer Time 2011-05-25.json,British Summer Time,2.0
16,2011-05-23,Data/speeches/UK/ursary Fund 2011-05-23.json,Bursary Fund,2.0
19,2011-06-07,Data/speeches/UK/usiness without Debate 2011-06-07.json,Business without Debate,2.0
20,2011-06-07,Data/speeches/UK/ancer Drugs Fund 2011-06-07.json,Cancer Drugs Fund,2.0
21,2011-06-07,Data/speeches/UK/are Homes 2011-06-07.json,Care Homes,2.0
22,2011-06-07,Data/speeches/UK/are Services (Older People) 2011-06-07.json,Care Services (Older People),2.0
23,2011-05-23,Data/speeches/UK/areers Guidance 2011-05-23.json,Careers Guidance,2.0
24,2011-05-25,Data/speeches/UK/hildren_ Ofsted Report 2011-05-25.json,Children: Ofsted Report,2.0
25,2011-05-23,Data/speeches/UK/itizenship Teaching 2011-05-23.json,Citizenship Teaching,2.0
26,2011-06-07,Data/speeches/UK/ity Status (Reading) 2011-06-07.json,City Status (Reading),2.0
27,2011-05-23,Data/speeches/UK/ommons Chamber 2011-05-23.json,Commons Chamber,2.0
28,2011-05-24,Data/speeches/UK/ommons Chamber 2011-05-24.json,Commons Chamber,2.0
29,2011-06-07,Data/speeches/UK/ommons Chamber 2011-06-07.json,Commons Chamber,2.0
31,2011-05-23,Data/speeches/UK/onnexions 2011-05-23.json,Connexions,2.0
32,2011-05-24,Data/speeches/UK/PS Advocate Panels 2011-05-24.json,CPS Advocate Panels,2.0
33,2011-05-24,Data/speeches/UK/rime_ Homeowners’ Liability 2011-05-24.json,Crime: Homeowners’ Liability,2.0
34,2011-05-24,Data/speeches/UK/rime_ Rape 2011-05-24.json,Crime: Rape,2.0
35,2011-05-24,Data/speeches/UK/rown Prosecution Service 2011-05-24.json,Crown Prosecution Service,2.0
