Unnamed: 0,date,file_path,debate_title,country
0,2011-01-20,Data/speeches/UK/ccess to Culture (Young People) 2011-01-20.json,Access to Culture (Young People),2.0
1,2011-01-18,Data/speeches/UK/ct of Settlement 2011-01-18.json,Act of Settlement,2.0
2,2011-01-12,Data/speeches/UK/fghanistan 2011-01-12.json,Afghanistan,2.0
3,2011-01-11,Data/speeches/UK/ir Passenger Duty 2011-01-11.json,Air Passenger Duty,2.0
4,2011-01-20,Data/speeches/UK/ir Passenger Duty 2011-01-20.json,Air Passenger Duty,2.0
5,2011-01-20,Data/speeches/UK/nti-Semitism 2011-01-20.json,Anti-Semitism,2.0
6,2011-01-18,Data/speeches/UK/rbroath and Forfar Driving Test Centres 2011-01-18.json,Arbroath and Forfar Driving Test Centres,2.0
7,2011-01-10,Data/speeches/UK/rmed Forces Bill 2011-01-10.json,Armed Forces Bill,2.0
15,2011-01-18,Data/speeches/UK/rrest Warrants (Private Prosecutions) 2011-01-18.json,Arrest Warrants (Private Prosecutions),2.0
16,2011-01-18,Data/speeches/UK/ttorney-general 2011-01-18.json,Attorney-general,2.0
17,2011-01-12,Data/speeches/UK/viation_ Hand-luggage Restrictions 2011-01-12.json,Aviation: Hand-luggage Restrictions,2.0
21,2011-01-11,Data/speeches/UK/ank Bonuses 2011-01-11.json,Bank Bonuses,2.0
22,2011-01-13,Data/speeches/UK/ankers’ Bonuses 2011-01-13.json,Bankers’ Bonuses,2.0
23,2011-01-11,Data/speeches/UK/anking_ Bonuses 2011-01-11.json,Banking: Bonuses,2.0
24,2011-01-19,Data/speeches/UK/asic Bank Accounts (Scotland) 2011-01-19.json,Basic Bank Accounts (Scotland),2.0
25,2011-01-20,Data/speeches/UK/BC Governance 2011-01-20.json,BBC Governance,2.0
26,2011-01-20,Data/speeches/UK/BC World Service 2011-01-20.json,BBC World Service,2.0
27,2011-01-19,Data/speeches/UK/ehavioural Insight Team 2011-01-19.json,Behavioural Insight Team,2.0
28,2011-01-11,Data/speeches/UK/enefit Entitlements (Joanna Cranfield) 2011-01-11.json,Benefit Entitlements (Joanna Cranfield),2.0
29,2011-01-19,Data/speeches/UK/ig Society 2011-01-19 (1).json,Big Society,2.0
30,2011-01-19,Data/speeches/UK/ig Society 2011-01-19 (2).json,Big Society,2.0
31,2011-01-19,Data/speeches/UK/ig Society 2011-01-19.json,Big Society,2.0
32,2011-01-12,Data/speeches/UK/iotechnology and Food Security 2011-01-12.json,Biotechnology and Food Security,2.0
